rev_cd|rev_typ_desc|rev_catg_desc|rev_subcatg_desc|rev_short_desc
0224|ANCILLARY SERVICES|SPECIAL CHARGES|LATE DISCHARGE, MEDICALLY NECESSARY|LATE DISCH/MED NEC
0456|ANCILLARY SERVICES|EMERGENCY ROOM|URGENT CARE|URGENT CARE
0739|ANCILLARY SERVICES|ELECTROCARDIOGRAM (EKG/ECG)|OTHER EKG/ECG|OTHER EKG-ECG
0580|ANCILLARY SERVICES|HOME HEALTH -OTHER VISITS|GENERAL CLASSIFICATION|HH-OTH VIS
0274|ANCILLARY SERVICES|MEDICAL/SURGICAL SUPPLIES AND DEVICES|PROSTHETIC/ORTHOTIC DEVICES|PROSTH/ORTH DEV
0932|ANCILLARY SERVICES|MEDICAL REHABILITATION DAY PROGRAM|FULL DAY|FULL DAY
0300|ANCILLARY SERVICES|LABORATORY|GENERAL CLASSIFICATION|LAB
0851|ANCILLARY SERVICES|CONTINUOUS CYCLING PERITONEAL DIALYSIS (CCPD) -OUTPATIENT OR HOME|CCPD/COMPOSITE OR OTHER RATE|CCPD/COMPOSITE
0479|ANCILLARY SERVICES|AUDIOLOGY|OTHER AUDIOLOGY|OTHER AUDIOL
0452|ANCILLARY SERVICES|EMERGENCY ROOM|ER BEYOND EMTALA SCREENING|ER/BEYOND EMTALA
0344|ANCILLARY SERVICES|NUCLEAR MEDICINE|THERAPEUTIC RADIOPHARMACEUTICALS|NUC MED/RX RADIOPHARM
0126|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE TWO BEDS (MEDICAL OR GENERAL)|DETOXIFICATION|DETOX/2BED
0581|ANCILLARY SERVICES|HOME HEALTH -OTHER VISITS|VISIT CHARGE|HH-OTH VIS/VISIT
0280|ANCILLARY SERVICES|ONCOLOGY|GENERAL CLASSIFICATION|ONCOLOGY
0183|ACCOMMODATION CODES|LEAVE OF ABSENCE|THERAPEUTIC LEAVE|LOA/THERAPEUTIC
0469|ANCILLARY SERVICES|PULMONARY FUNCTION|OTHER PULMONARY FUNCTION|OTHER PULMON FUNC
0379|ANCILLARY SERVICES|ANESTHESIA|OTHER ANESTHESIA|ANESTHE/OTHER
0160|ACCOMMODATION CODES|ROOM & BOARD - OTHER|GENERAL CLASSIFICATION|R&B
0471|ANCILLARY SERVICES|AUDIOLOGY|DIAGNOSTIC|AUDIOLOGY/DX
0841|ANCILLARY SERVICES|CONTINUOUS AMBULATORY PERITONEAL DIALYSIS (CAPD) - OUTPATIENT OR HOME|CAPD/COMPOSITE OR OTHER RATE|CAPD/COMPOSITE
0251|ANCILLARY SERVICES|PHARMACY|GENERIC DRUGS|DRUGS/GENERIC
0272|ANCILLARY SERVICES|MEDICAL/SURGICAL SUPPLIES AND DEVICES|STERILE SUPPLY|STERILE SUPPLY
0400|ANCILLARY SERVICES|OTHER IMAGING SERVICES|GENERAL CLASSIFICATION|IMAGE SERVICE
0320|ANCILLARY SERVICES|RADIOLOGY - DIAGNOSTIC|GENERAL CLASSIFICATION|DX X-RAY
0460|ANCILLARY SERVICES|PULMONARY FUNCTION|GENERAL CLASSIFICATION|PULMONARY FUNC
0431|ANCILLARY SERVICES|OCCUPATIONAL THERAPY|VISIT CHARGE|OCCUP THERP/VISIT
0299|ANCILLARY SERVICES|DURABLE MEDICAL EQUIPMENT (DME) (OTHER THAN RENAL)|OTHER EQUIPMENT|MED EQUIP/OTHER
0490|ANCILLARY SERVICES|AMBULATORY SURGICAL CARE|GENERAL CLASSIFICATION|AMBUL SURG
0630|ANCILLARY SERVICES|PHARMACY - EXTENSION OF 025X|RESERVED|
0880|ANCILLARY SERVICES|MISCELLANEOUS DIALYSIS|GENERAL CLASSIFICATION|DIALY/MISC
0992|ANCILLARY SERVICES|PATIENT CONVENIENCE ITEMS|PRIVATE LINEN SERVICE|LINEN
0695|ANCILLARY SERVICES|PRE-HOSPICE/PALLIATIVE CARE SERVICES|INPATIENT CARE|PREHOSPICE/IP DAYS
0513|ANCILLARY SERVICES|CLINIC|PSYCHIATRIC CLINIC|PSYCH CLINIC
0275|ANCILLARY SERVICES|MEDICAL/SURGICAL SUPPLIES AND DEVICES|PACE MAKER|PACE MAKER
3109|ANCILLARY SERVICES|ADULT CARE|OTHER ADULT CARE|OTHER ADULT
0250|ANCILLARY SERVICES|PHARMACY|GENERAL CLASSIFICATION|PHARMACY
0974|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X|RADIOLOGY - NUCLEAR MEDICINE|PRO FEE/NUC MED
0100|ACCOMMODATION CODES|ALL INCLUSIVE RATE|ALL-INCLUSIVE ROOM AND BOARD PLUS ANCILLARY|ALL INCL R&B/ANC
0311|ANCILLARY SERVICES|LABORATORY PATHOLOGICAL|CYTOLOGY|PATHOL/CYTOLOGY
0993|ANCILLARY SERVICES|PATIENT CONVENIENCE ITEMS|TELEPHONE/TELEGRAPH|TELEPHONE
0241|ANCILLARY SERVICES|ALL INCLUSIVE ANCILLARY|BASIC|ALL INCL BASIC
0306|ANCILLARY SERVICES|LABORATORY|BACTERIOLOGY & MICROBIOLOGY|LAB/BACT-MICRO
0230|ANCILLARY SERVICES|INCREMENTAL NURSING CHARGE RATE|GENERAL CLASSIFICATION|NURSING INCREM
0114|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (MEDICAL OR GENERAL)|PSYCHIATRIC|PSYCH/PVT
0115|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (MEDICAL OR GENERAL)|HOSPICE|HOSPICE/PVT
0643|ANCILLARY SERVICES|HOME IV THERAPY SERVICES|IV START/CHANGE PERIPHERAL LINE|IV STRT/CHNG/PERIPHAL
0270|ANCILLARY SERVICES|MEDICAL/SURGICAL SUPPLIES AND DEVICES|GENERAL CLASSIFICATION|MED-SUR SUPPLIES
0001|BILLING DATA/CALCULATION|TOTAL CHARGE||
0653|ANCILLARY SERVICES|HOSPICE SERVICES|RESERVED|
0681|ANCILLARY SERVICES|TRAUMA RESPONSE|LEVEL I|TRAUMA LEVEL I
0835|ANCILLARY SERVICES|PERITONEAL DIALYSIS - OUTPATIENT OR HOME|SUPPORT SERVICES|PERTNL/HOME/SUPSERV
0433|ANCILLARY SERVICES|OCCUPATIONAL THERAPY|GROUP RATE|OCCUP THERP/GROUP
0154|ACCOMMODATION CODES|ROOM & BOARD WARD (MEDICAL OR GENERAL)|PSYCHIATRIC|PSYCH/WARD
0277|ANCILLARY SERVICES|MEDICAL/SURGICAL SUPPLIES AND DEVICES|OXYGEN-TAKE HOME|02/TAKEHOME
0663|ANCILLARY SERVICES|RESPITE CARE|DAILY RESPITE CHARGE|RESPITE DAILY
0987|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X & 097X|HOSPITAL VISIT|PRO FEE/HOS VIS
0278|ANCILLARY SERVICES|MEDICAL/SURGICAL SUPPLIES AND DEVICES|OTHER IMPLANTS|SUPPLY/IMPLANTS
0721|ANCILLARY SERVICES|LABOR ROOM/DELIVERY|LABOR|LABOR
0422|ANCILLARY SERVICES|PHYSICAL THERAPY|HOURLY CHARGE|PHYS THERP/HOUR
0552|ANCILLARY SERVICES|SKILLED NURSING|HOURLY CHARGE|SKILLED NURS/HOUR
0994|ANCILLARY SERVICES|PATIENT CONVENIENCE ITEMS|TV/RADIO|TV/RADIO
0169|ACCOMMODATION CODES|ROOM & BOARD - OTHER|OTHER|R&B/OTHER
0572|ANCILLARY SERVICES|HOME HEALTH-HOME HEALTH AIDE|HOURLY CHARGE|AIDE/HOME HLTH/HOUR
0239|ANCILLARY SERVICES|INCREMENTAL NURSING CHARGE RATE|OTHER|NUR INCR/OTHER
0210|ACCOMMODATION CODES|CORONARY CARE|GENERAL CLASSIFICATION|CORONARY CARE OR (CCU)
0322|ANCILLARY SERVICES|RADIOLOGY - DIAGNOSTIC|ARTHROGRAPHY|DX X-RAY/ARTH
0509|ANCILLARY SERVICES|OUTPATIENT SERVICES|OTHER OUTPATIENT SERVICES|OUTPATIENT/OTHER
0660|ANCILLARY SERVICES|RESPITE CARE|GENERAL CLASSIFICATION|RESPITE CARE
0730|ANCILLARY SERVICES|ELECTROCARDIOGRAM (EKG/ECG)|GENERAL CLASSIFICATION|EKG/ECG
0350|ANCILLARY SERVICES|COMPUTED TOMOGRAPHIC (CT) SCAN|GENERAL CLASSIFICATION|CT SCAN
0389|ANCILLARY SERVICES|BLOOD|OTHER BLOOD|BLOOD/OTHER
0918|ANCILLARY SERVICES|BEHAVIORAL HEALTH TREATMENT/SERVICES-EXTENSION OF 090X|TESTING|BH/TESTING
0203|ACCOMMODATION CODES|INTENSIVE CARE|PEDIATRIC|ICU/PEDS
0383|ANCILLARY SERVICES|BLOOD|PLASMA|BLOOD/PLASMA
0409|ANCILLARY SERVICES|OTHER IMAGING SERVICES|OTHER IMAGING SERVICES|OTHER IMAG SVS
0991|ANCILLARY SERVICES|PATIENT CONVENIENCE ITEMS|CAFETERIA/GUEST TRAY|CAFETERIA
0652|ANCILLARY SERVICES|HOSPICE SERVICES|CONTINUOUS HOME CARE|HOSPICE/CTNS HOME
0204|ACCOMMODATION CODES|INTENSIVE CARE|PSYCHIATRIC|ICU/PSTAY
3103|ANCILLARY SERVICES|ADULT CARE|ADULT DAY CARE, MEDICAL AND SOCIAL - DAY|ADULT MED/SOC DAY
0207|ACCOMMODATION CODES|INTENSIVE CARE|BURN CARE|ICU/BURN CARE
0212|ACCOMMODATION CODES|CORONARY CARE|PULMONARY CARE|CCU/PULMONARY
0962|ANCILLARY SERVICES|PROFESSIONAL FEES|OPHTHALMOLOGY|PRO FEE/EYE
0472|ANCILLARY SERVICES|AUDIOLOGY|TREATMENT|AUDIOLOGY/RX
0834|ANCILLARY SERVICES|PERITONEAL DIALYSIS - OUTPATIENT OR HOME|MAINTENANCE 100%|PERTNL/HOME/100%
0410|ANCILLARY SERVICES|RESPIRATORY SERVICES|GENERAL CLASSIFICATION|RESPIRATORY SVC
0209|ACCOMMODATION CODES|INTENSIVE CARE|OTHER INTENSIVE CARE|ICU/OTHER
0279|ANCILLARY SERVICES|MEDICAL/SURGICAL SUPPLIES AND DEVICES|OTHER SUPPLIES/DEVICES|SUPPLY/OTHER
0385|ANCILLARY SERVICES|BLOOD|LEUCOCYTES|BLOOD/LEUCOCYTES
0762|ANCILLARY SERVICES|SPECIALTY SERVICES|OBSERVATION HOURS|OBSERVATION RM
0969|ANCILLARY SERVICES|PROFESSIONAL FEES|OTHER PROFESSIONAL FEES|OTHER PRO FEE
0979|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X|SPEECH PATHOLOGY|PRO FEE/SPEECH
0119|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (MEDICAL OR GENERAL)|OTHER|OTHER/PVT
0219|ACCOMMODATION CODES|CORONARY CARE|OTHER CORONARY CARE|CCU/OTHER
0690|ANCILLARY SERVICES|PRE-HOSPICE/PALLIATIVE CARE SERVICES|GENERAL CLASSIFICATION|PREHOSPICE
0680|ANCILLARY SERVICES|TRAUMA RESPONSE|NOT USED|
0512|ANCILLARY SERVICES|CLINIC|DENTAL CLINIC|DENTAL CLINIC
0810|ANCILLARY SERVICES|ACQUISITION OF BODY COMPONENTS|GENERAL CLASSIFICATION|ORGAN ACQUISIT
0240|ANCILLARY SERVICES|ALL INCLUSIVE ANCILLARY|GENERAL CLASSIFICATION|ALL INCL ANCIL
0700|ANCILLARY SERVICES|CAST ROOM|GENERAL CLASSIFICATION|CAST ROOM
0303|ANCILLARY SERVICES|LABORATORY|RENAL PATIENT (HOME)|LAB/RENAL HOME
0583|ANCILLARY SERVICES|HOME HEALTH -OTHER VISITS|ASSESSMENT|HH-OTH VIS/ASSESS
0540|ANCILLARY SERVICES|AMBULANCE|GENERAL CLASSIFICATION|AMBULANCE
0412|ANCILLARY SERVICES|RESPIRATORY SERVICES|INHALATION SERVICES|INHALATION SVC
0260|ANCILLARY SERVICES|IV THERAPY|GENERAL CLASSIFICATION|IV THERAPY
0550|ANCILLARY SERVICES|SKILLED NURSING|GENERAL CLASSIFICATION|SKILLED NURSING
0309|ANCILLARY SERVICES|LABORATORY|OTHER LABORATORY|LAB/OTHER
0235|ANCILLARY SERVICES|INCREMENTAL NURSING CHARGE RATE|HOSPICE|NUR INCR/HOSPICE
0996|ANCILLARY SERVICES|PATIENT CONVENIENCE ITEMS|LATE DISCHARGE CHARGE|LATE DISCHARGE
0420|ANCILLARY SERVICES|PHYSICAL THERAPY|GENERAL CLASSIFICATION|PHYSICAL THERP
0515|ANCILLARY SERVICES|CLINIC|PEDIATRIC CLINIC|PEDS CLINIC
0424|ANCILLARY SERVICES|PHYSICAL THERAPY|EVALUATION OR RE-EVALUATION|PHYS THERP/EVAL
0413|ANCILLARY SERVICES|RESPIRATORY SERVICES|HYPERBARIC OXYGEN THERAPY|HYPERBARIC 02
0349|ANCILLARY SERVICES|NUCLEAR MEDICINE|OTHER|NUC MED/OTHER
0931|ANCILLARY SERVICES|MEDICAL REHABILITATION DAY PROGRAM|HALF DAY|HALF DAY
0812|ANCILLARY SERVICES|ACQUISITION OF BODY COMPONENTS|CADAVER DONOR|CADAVER/DONOR
0302|ANCILLARY SERVICES|LABORATORY|IMMUNOLOGY|LAB/IMMUNOLOGY
0264|ANCILLARY SERVICES|IV THERAPY|IV THERAPY/SUPPLIES|IV THER/SUPPLIES
0231|ANCILLARY SERVICES|INCREMENTAL NURSING CHARGE RATE|NURSERY|NUR INCR/NURSERY
0964|ANCILLARY SERVICES|PROFESSIONAL FEES|ANESTHETIST (CRNA)|PRO FEE/ANES CRNA
0731|ANCILLARY SERVICES|ELECTROCARDIOGRAM (EKG/ECG)|HOLTER MONITOR|HOLTER MONT
0220|ANCILLARY SERVICES|SPECIAL CHARGES|GENERAL CLASSIFICATION|SPECIAL CHARGES
0164|ACCOMMODATION CODES|ROOM & BOARD - OTHER|STERILE ENVIRONMENT|R&B/STERILE
0510|ANCILLARY SERVICES|CLINIC|GENERAL CLASSIFICATION|CLINIC
0682|ANCILLARY SERVICES|TRAUMA RESPONSE|LEVEL II|TRAUMA LEVEL II
0243|ANCILLARY SERVICES|ALL INCLUSIVE ANCILLARY|SPECIALTY|ALL INCL SPECIAL
0304|ANCILLARY SERVICES|LABORATORY|NONROUTINE DIALYSIS|LAB/NR DIALYSIS
0223|ANCILLARY SERVICES|SPECIAL CHARGES|U.R. SERVICE CHARGE|UR CHARGE
0269|ANCILLARY SERVICES|IV THERAPY|OTHER IV THERAPY|IV THERAPY/OTHER
0253|ANCILLARY SERVICES|PHARMACY|TAKE HOME DRUGS|DRUGS/TAKEHOME
0301|ANCILLARY SERVICES|LABORATORY|CHEMISTRY|LAB/CHEMISTRY
0544|ANCILLARY SERVICES|AMBULANCE|OXYGEN|AMBUL/0XY
